PIN,Orchard,OrchardGroup,Date,PlantingCode,ProductionSite,ManagementArea,BusinessUnit,LandAreaHa,VarietyCode,Variety,Chemical,ActiveIngredient,ChemicalRate,ChemicalUnit,WaterRate,Reason,MonitorRef,TargetPrimary,TargetSecondary,Applicators,Sprayers,SprayCondition,SprayMethod,SurplusDisposal,ChemicalUsed,ChemicalCost,ChemicalPrice,StockUnit,ChemicalTags,#,Approved
R2880,Manahi,Havelock Sector,18/10/2022,MANAHI C,C,C,Rakete Orchards Limited Partnership,2.75604,996,Rockit,Ethin,chlorethephon,60,ml/100 litres,250,Recommended,,Thinning,,"Andeep Bal Singh, Talwinder Singh","HAV-SPR-007 Quantum, HAV-SPR-008 Quantum, HAV-TRC-007 Cab Tractor, HAV-TRC-008 Cab Tractor",,Quantum Tower,,0.480504,18.66758,38.85,L,Plant Growth Regulator,930,TRUE
R2880,Manahi,Havelock Sector,18/10/2022,MANAHI D,D,D,Rakete Orchards Limited Partnership,2.94126,996,Rockit,Ethin,chlorethephon,60,ml/100 litres,250,Recommended,,Thinning,,"Andeep Bal Singh, Talwinder Singh","HAV-SPR-007 Quantum, HAV-SPR-008 Quantum, HAV-TRC-007 Cab Tractor, HAV-TRC-008 Cab Tractor",,Quantum Tower,,0.512797,19.922163,38.85,L,Plant Growth Regulator,930,TRUE
R2880,Manahi,Havelock Sector,18/10/2022,MANAHI E,E,E,Rakete Orchards Limited Partnership,2.12142,996,Rockit,Ethin,chlorethephon,60,ml/100 litres,250,Recommended,,Thinning,,"Andeep Bal Singh, Talwinder Singh","HAV-SPR-007 Quantum, HAV-SPR-008 Quantum, HAV-TRC-007 Cab Tractor, HAV-TRC-008 Cab Tractor",,Quantum Tower,,0.369861,14.3691,38.85,L,Plant Growth Regulator,930,TRUE
R2880,Manahi,Havelock Sector,18/10/2022,MANAHI F1,F,F1,Rakete Orchards Limited Partnership,2.40072,996,Rockit,Ethin,chlorethephon,60,ml/100 litres,250,Recommended,,Thinning,,"Andeep Bal Singh, Talwinder Singh","HAV-SPR-007 Quantum, HAV-SPR-008 Quantum, HAV-TRC-007 Cab Tractor, HAV-TRC-008 Cab Tractor",,Quantum Tower,,0.418556,16.260901,38.85,L,Plant Growth Regulator,930,TRUE
R2880,Manahi,Havelock Sector,18/10/2022,MANAHI F2,F,F2,Rakete Orchards Limited Partnership,2.16972,996,Rockit,Ethin,chlorethephon,60,ml/100 litres,250,Recommended,,Thinning,,"Andeep Bal Singh, Talwinder Singh","HAV-SPR-007 Quantum, HAV-SPR-008 Quantum, HAV-TRC-007 Cab Tractor, HAV-TRC-008 Cab Tractor",,Quantum Tower,,0.378282,14.696256,38.85,L,Plant Growth Regulator,930,TRUE
R2668,Te Aute Road South,Havelock Sector,18/10/2022,TRS A,A,A,ROLP 1,2.36523,996,Rockit,Ethin,chlorethephon,60,ml/100 litres,750,Recommended,,Thinning,,"David Owen, Josh Smith","HAV-SPR-005 Cropliner, HAV-SPR-009 Sprayer, HAV-TRC-005 Cab Tractor, HAV-TRC-009 Cab Tractor",,Cropliner,,1.14,44.289,38.85,L,Plant Growth Regulator,931,TRUE
R2534,Stock Road South,Havelock Sector,18/10/2022,SRS A1,B,B1,ROLP 1,0.83888,996,Rockit,Ethin,chlorethephon,60,ml/100 litres,666,Recommended,,Thinning,,Josh Smith,"HAV-SPR-009 Sprayer, HAV-TRC-009 Cab Tractor",,Cropliner,,0.419837,16.310667,38.85,L,Plant Growth Regulator,932,TRUE
R2534,Stock Road South,Havelock Sector,18/10/2022,SRS A2,B,B2,ROLP 1,0.59976,996,Rockit,Ethin,chlorethephon,60,ml/100 litres,666,Recommended,,Thinning,,Josh Smith,"HAV-SPR-009 Sprayer, HAV-TRC-009 Cab Tractor",,Cropliner,,0.300164,11.661371,38.85,L,Plant Growth Regulator,932,TRUE
R2534,Stock Road South,Havelock Sector,10/10/2022,SRS B2,A,A,ROLP 1,1.52292,996,Rockit,Ethin,chlorethephon,450,ml/Ha,750,Recommended,,Thinning,,"Kamau Blogg, Talwinder Singh","HAV-SPR-007 Quantum, HAV-SPR-008 Quantum, HAV-TRC-007 Cab Tractor, HAV-TRC-008 Cab Tractor",,Quantum Tower,,0.795578,30.908205,38.85,L,Plant Growth Regulator,773,TRUE
R2534,Stock Road South,Havelock Sector,10/10/2022,SRS B1,C,C,ROLP 1,1.64346,996,Rockit,Ethin,chlorethephon,450,ml/Ha,750,Recommended,,Thinning,,"Kamau Blogg, Talwinder Singh","HAV-SPR-007 Quantum, HAV-SPR-008 Quantum, HAV-TRC-007 Cab Tractor, HAV-TRC-008 Cab Tractor",,Quantum Tower,,0.858549,33.354629,38.85,L,Plant Growth Regulator,773,TRUE
R2534,Stock Road South,Havelock Sector,10/10/2022,SRS A3,D,D1,ROLP 1,0.84035,996,Rockit,Ethin,chlorethephon,450,ml/Ha,750,Recommended,,Thinning,,"Kamau Blogg, Talwinder Singh","HAV-SPR-007 Quantum, HAV-SPR-008 Quantum, HAV-TRC-007 Cab Tractor, HAV-TRC-008 Cab Tractor",,Quantum Tower,,0.439002,17.055228,38.85,L,Plant Growth Regulator,773,TRUE
R2534,Stock Road South,Havelock Sector,10/10/2022,SRS A5,D,D3,ROLP 1,0.11172,996,Rockit,Ethin,chlorethephon,450,ml/Ha,750,Recommended,,Thinning,,"Kamau Blogg, Talwinder Singh","HAV-SPR-007 Quantum, HAV-SPR-008 Quantum, HAV-TRC-007 Cab Tractor, HAV-TRC-008 Cab Tractor",,Quantum Tower,,0.058363,2.267403,38.85,L,Plant Growth Regulator,773,TRUE
R2534,Stock Road South,Havelock Sector,10/10/2022,SRS A4,D,D2,ROLP 1,0.82026,996,Rockit,Ethin,chlorethephon,450,ml/Ha,750,Recommended,,Thinning,,"Kamau Blogg, Talwinder Singh","HAV-SPR-007 Quantum, HAV-SPR-008 Quantum, HAV-TRC-007 Cab Tractor, HAV-TRC-008 Cab Tractor",,Quantum Tower,,0.428506,16.647458,38.85,L,Plant Growth Regulator,773,TRUE
R1230,Home Block,Havelock Sector,10/10/2022,HME C,C,C,ROLP 1,3.14776,996,Rockit,Ethin,chlorethephon,450,ml/Ha,750,Recommended,,Thinning,,"Kamau Blogg, Talwinder Singh","HAV-SPR-007 Quantum, HAV-SPR-008 Quantum, HAV-TRC-007 Cab Tractor, HAV-TRC-008 Cab Tractor",,Quantum Tower,,1.5,58.275,38.85,L,Plant Growth Regulator,774,TRUE
R2724,Omahu,Crownthorpe Sector,20/04/2023,OMAHU A2,C,C,ROLP 2,1.56828,996,Rockit,Ethin,chlorethephon,3,l/Ha,250,,,Thinning,,Brenden Strange,,,Helicopter,,7.228262,280.817979,38.85,L,Plant Growth Regulator,2277,TRUE
R2724,Omahu,Crownthorpe Sector,20/04/2023,OMAHU A1,A,A,ROLP 2,2.80182,996,Rockit,Ethin,chlorethephon,3,l/Ha,250,,,Thinning,,Brenden Strange,,,Helicopter,,12.913695,501.697051,38.85,L,Plant Growth Regulator,2277,TRUE
R2724,Omahu,Crownthorpe Sector,20/04/2023,OMAHU A3,C,E,ROLP 2,0.83706,996,Rockit,Ethin,chlorethephon,3,l/Ha,250,,,Thinning,,Brenden Strange,,,Helicopter,,3.858041,149.884893,38.85,L,Plant Growth Regulator,2277,TRUE
R2534,Stock Road South,Havelock Sector,5/04/2023,SRS B1,C,C,ROLP 1,1.64346,996,Rockit,Ethin,chlorethephon,3,l/Ha,1500,Recommended,,Thinning,,Todd Blackman,"HAV-SPR-005 Cropliner, HAV-TRC-005 Cab Tractor",,Cropliner,,5.397953,209.710474,38.85,L,Plant Growth Regulator,2295,TRUE
R2534,Stock Road South,Havelock Sector,5/04/2023,SRS B2,A,A,ROLP 1,1.52292,996,Rockit,Ethin,chlorethephon,3,l/Ha,1500,Recommended,,Thinning,,Todd Blackman,"HAV-SPR-005 Cropliner, HAV-TRC-005 Cab Tractor",,Cropliner,,5.002038,194.329176,38.85,L,Plant Growth Regulator,2295,TRUE
R2724,Omahu,Crownthorpe Sector,27/04/2023,OMAHU A3,C,E,ROLP 2,0.83706,996,Rockit,Ethin,chlorethephon,3,l/Ha,250,,,Thinning,,Brenden Strange,,,Helicopter,,3.858041,149.884893,38.85,L,Plant Growth Regulator,2329,TRUE
R2724,Omahu,Crownthorpe Sector,27/04/2023,OMAHU A2,C,C,ROLP 2,1.56828,996,Rockit,Ethin,chlorethephon,3,l/Ha,250,,,Thinning,,Brenden Strange,,,Helicopter,,7.228262,280.817979,38.85,L,Plant Growth Regulator,2329,TRUE
R2724,Omahu,Crownthorpe Sector,27/04/2023,OMAHU A1,A,A,ROLP 2,2.80182,996,Rockit,Ethin,chlorethephon,3,l/Ha,250,,,Thinning,,Brenden Strange,,,Helicopter,,12.913695,501.697051,38.85,L,Plant Growth Regulator,2329,TRUE
R1230,Home Block,Havelock Sector,8/02/2023,HME E1-7,E,E1-7,ROLP 1,2.241225,996,Rockit,Ethin,chlorethephon,20,ml/100 litres,1000,,,Thinning,,Joel Marshall,"HAV-SPR-003 Cropliner, HAV-TRC-003 Tractor",,Cropliner,,0.6,23.31,38.85,L,Plant Growth Regulator,2097,TRUE
R2534,Stock Road South,Havelock Sector,7/02/2023,SRS D2,F,F2,ROLP 1,1.134,996,Rockit,Ethin,chlorethephon,20,ml/100 litres,1000,,,Thinning,,"David Owen, Josh Smith","HAV-SPR-005 Cropliner, HAV-SPR-006 Cropliner, HAV-TRC-005 Cab Tractor, HAV-TRC-006 Cab Tractor",,Cropliner,,0.24905,9.675593,38.85,L,Plant Growth Regulator,2096,TRUE
R2534,Stock Road South,Havelock Sector,7/02/2023,SRS D1,F,F1,ROLP 1,1.057875,996,Rockit,Ethin,chlorethephon,20,ml/100 litres,1000,,,Thinning,,"David Owen, Josh Smith","HAV-SPR-005 Cropliner, HAV-SPR-006 Cropliner, HAV-TRC-005 Cab Tractor, HAV-TRC-006 Cab Tractor",,Cropliner,,0.232331,9.026059,38.85,L,Plant Growth Regulator,2096,TRUE
